# Time-averaged data for fix avg_vals
# TimeStep v_zStrainc v_engsszc v_p3 v_engssyc v_p2 v_engssxc v_p1
282000 0.10075 15.5068 16.1956 0.00107437 0.00101058 0.00110198 0.0010362
283000 0.10125 15.5546 16.2485 -0.00435125 -0.00403716 0.00436705 0.004055
284000 0.10175 15.6153 16.3131 0.00317301 0.00294677 -0.00335127 -0.00310805
285000 0.10225 15.6426 16.342 0.00123564 0.0011562 -0.00229824 -0.0021207
286000 0.10275 15.6708 16.3732 -0.00313097 -0.0029007 -0.00158583 -0.00146709
287000 0.10325 15.6833 16.3874 0.000973397 0.00089631 -0.00043981 -0.000412532
288000 0.10375 15.6991 16.4041 0.00205809 0.00190882 0.00253612 0.00234992
289000 0.10425 15.7147 16.4219 -0.00453084 -0.00420441 0.00740545 0.00684989
290000 0.10475 15.7821 16.4949 0.0065302 0.00603015 -0.00487377 -0.00453064
291000 0.10525 15.7876 16.502 0.000770752 0.000707904 -0.00264268 -0.00244496
292000 0.10575 15.763 16.4744 -0.00404805 -0.00374703 -0.00347428 -0.00321409
293000 0.10625 15.6825 16.3851 -0.0023064 -0.00213545 0.00472657 0.00436179
294000 0.10675 13.8754 14.402 -0.00749356 -0.00689616 -0.0218718 -0.0200333
295000 0.10725 2.8493 2.91709 -0.136472 -0.121871 -0.139664 -0.124346
296000 0.10775 -9.00698 -8.03867 -0.189513 -0.162499 -0.167357 -0.143112
297000 0.10825 -10.8591 -8.77342 -1.21836 -0.962778 -1.15883 -0.906183
298000 0.10875 -12.3097 -6.63774 -5.86464 -3.91227 -5.90904 -3.88767
299000 0.10925 -9.31558 -3.32567 -2.67237 -1.45951 -2.83624 -1.5352
300000 0.10975 -4.41921 -1.27853 -0.293288 -0.142871 -0.371464 -0.18133
301000 0.11025 -3.11092 -0.857373 -0.0406346 -0.0191434 -0.0461184 -0.0219156
302000 0.11075 -2.65229 -0.717059 -0.0140385 -0.00654558 -0.0218269 -0.0102729
303000 0.11125 -2.27439 -0.609143 -0.010209 -0.00473544 -0.00866972 -0.00404813
304000 0.11175 -1.93968 -0.515734 -0.000683441 -0.000316019 -0.00388139 -0.00180679
305000 0.11225 -1.78083 -0.471709 -0.00563277 -0.00259073 -0.00360614 -0.00168306
306000 0.11275 -1.71481 -0.452653 0.00136133 0.000625923 -0.00469322 -0.00217992
307000 0.11325 -1.55197 -0.40876 8.94084e-05 4.23122e-05 3.56048e-05 1.81595e-05
308000 0.11375 -1.30999 -0.344423 -0.00270183 -0.001237 -0.00218656 -0.00101302
309000 0.11425 -1.16075 -0.304628 0.00152079 0.000693245 0.000248122 0.000115088
310000 0.11475 -1.15495 -0.302561 -0.00326601 -0.00149242 -0.00141397 -0.000655281
311000 0.11525 -1.1334 -0.296579 -0.00097888 -0.000445824 0.000770869 0.000356717
312000 0.11575 -1.02828 -0.269019 -0.00214658 -0.000977827 -0.000191548 -8.75156e-05
313000 0.11625 -1.07714 -0.281905 0.00249254 0.0011378 0.0007703 0.000356862
314000 0.11675 -1.00149 -0.262253 0.0033834 0.0015448 0.00188047 0.000864105
315000 0.11725 -1.04277 -0.27309 -0.00429647 -0.00195869 -0.0016842 -0.000772154
316000 0.11775 -1.00616 -0.263446 -0.00241687 -0.00110196 -0.000356369 -0.000164141
317000 0.11825 -0.925993 -0.242393 0.0024349 0.00111064 -0.00164759 -0.000756008
318000 0.11875 -0.949896 -0.248667 -0.00011635 -5.27253e-05 0.00188961 0.000867793
319000 0.11925 -0.795452 -0.208169 -0.00246573 -0.00112365 -0.00265247 -0.00121842
320000 0.11975 -0.70579 -0.184845 -0.000722682 -0.000328966 -0.00448734 -0.0020574
321000 0.12025 -0.696786 -0.18255 0.00369106 0.00168247 0.00671979 0.00308464
322000 0.12075 -0.616105 -0.161456 -0.00377161 -0.00171605 -0.00310353 -0.00142661
323000 0.12125 -0.710621 -0.186293 -0.00197563 -0.00089741 0.00402573 0.00184761
324000 0.12175 -0.614516 -0.161117 0.00372249 0.00169164 -0.00505503 -0.00231815
325000 0.12225 -0.612717 -0.160707 -0.00132998 -0.00060497 0.00156611 0.00071708
326000 0.12275 -0.676332 -0.177313 -0.00109815 -0.000501038 -0.00255093 -0.00117098
327000 0.12325 -0.56012 -0.146832 0.00171105 0.000778839 -0.000224687 -0.000100983
328000 0.12375 -0.563857 -0.147816 0.000737392 0.00033901 0.00100242 0.000463774
329000 0.12425 -0.566478 -0.148496 -0.0019855 -0.000900632 0.000870375 0.000398517
330000 0.12475 -0.460457 -0.12079 0.000611204 0.000280531 0.000195587 9.26662e-05
331000 0.12525 -0.476585 -0.125072 -0.00147446 -0.000669134 0.00416452 0.00190241
